PERMNO,date,TICKER,COMNAM,CFACPR
93002,2021-08-19,AVGO,BROADCOM INC,10
93002,2021-08-20,AVGO,BROADCOM INC,10
93002,2021-08-23,AVGO,BROADCOM INC,10
93002,2021-08-24,AVGO,BROADCOM INC,10
93002,2021-08-25,AVGO,BROADCOM INC,10
93002,2021-08-26,AVGO,BROADCOM INC,10
93002,2021-08-27,AVGO,BROADCOM INC,10
93002,2021-08-30,AVGO,BROADCOM INC,10
93002,2021-08-31,AVGO,BROADCOM INC,10
93002,2021-09-01,AVGO,BROADCOM INC,10
93002,2021-09-02,AVGO,BROADCOM INC,10
93002,2021-09-03,AVGO,BROADCOM INC,10
93002,2021-09-07,AVGO,BROADCOM INC,10
93002,2021-09-08,AVGO,BROADCOM INC,10
93002,2021-09-09,AVGO,BROADCOM INC,10
93002,2021-09-10,AVGO,BROADCOM INC,10
93002,2021-09-13,AVGO,BROADCOM INC,10
93002,2021-09-14,AVGO,BROADCOM INC,10
93002,2021-09-15,AVGO,BROADCOM INC,10
93002,2021-09-16,AVGO,BROADCOM INC,10
93002,2021-09-17,AVGO,BROADCOM INC,10
93002,2021-09-20,AVGO,BROADCOM INC,10
93002,2021-09-21,AVGO,BROADCOM INC,10
93002,2021-09-22,AVGO,BROADCOM INC,10
93002,2021-09-23,AVGO,BROADCOM INC,10
93002,2021-09-24,AVGO,BROADCOM INC,10
93002,2021-09-27,AVGO,BROADCOM INC,10
93002,2021-09-28,AVGO,BROADCOM INC,10
93002,2021-09-29,AVGO,BROADCOM INC,10
93002,2021-09-30,AVGO,BROADCOM INC,10
93002,2021-10-01,AVGO,BROADCOM INC,10
93002,2021-10-04,AVGO,BROADCOM INC,10
93002,2021-10-05,AVGO,BROADCOM INC,10
93002,2021-10-06,AVGO,BROADCOM INC,10
93002,2021-10-07,AVGO,BROADCOM INC,10
93002,2021-10-08,AVGO,BROADCOM INC,10
93002,2021-10-11,AVGO,BROADCOM INC,10
93002,2021-10-12,AVGO,BROADCOM INC,10
93002,2021-10-13,AVGO,BROADCOM INC,10
93002,2021-10-14,AVGO,BROADCOM INC,10
93002,2021-10-15,AVGO,BROADCOM INC,10
93002,2021-10-18,AVGO,BROADCOM INC,10
93002,2021-10-19,AVGO,BROADCOM INC,10
93002,2021-10-20,AVGO,BROADCOM INC,10
93002,2021-10-21,AVGO,BROADCOM INC,10
93002,2021-10-22,AVGO,BROADCOM INC,10
